Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.01G007000,Gm01,730584-732751,protein IQ-DOMAIN 14-like [Glycine max],IPR000048;IPR025064,GO:0005515
Glyma.01G007100,Gm01,756071-758299,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.01G007200,Gm01,778988-784878,hexokinase 1,IPR001312,GO:0005524;GO:0005975
Glyma.01G007300,Gm01,785023-789909,hexokinase 1,IPR001312,GO:0005524;GO:0005975
Glyma.01G007400,Gm01,788796-794641,ATP binding/protein serine/threonine kinase [Glycine max]; ,IPR001611;IPR003591;IPR011009;IPR013210;IPR025875,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468
Glyma.01G007500,Gm01,795759-799781,ATP binding/protein serine/threonine kinase [Glycine max]; ,IPR001611;IPR003591;IPR011009;IPR013210;IPR025875,GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468
Glyma.01G007651,Gm01,801442-805421,Unknown protein,NA,NA
Glyma.01G007700,Gm01,807985-810484,mitochondrial import inner membrane translocase subunit TIM17-2-like [Glycine max]; ,IPR003397,GO:0005744;GO:0006886;GO:0015450
Glyma.01G007800,Gm01,809281-820969,"DNA (cytosine-5-)-methyltransferase family protein; domain),",IPR001025;IPR001525;IPR016197,GO:0003677;GO:0003682;GO:0006306;GO:0008168
Glyma.01G007900,Gm01,823204-829044,nucleotide-diphospho-sugar transferase domain protein;,IPR025993,NA
Glyma.01G008000,Gm01,828917-832560,cytochrome B5-like protein;,IPR001199,GO:0020037
Glyma.01G008100,Gm01,836153-840167,Senescence/dehydration-associated protein-related;,IPR009686,NA
Glyma.01G008200,Gm01,851827-863711,ATP-binding ABC transporter,IPR011527;IPR027417,GO:0000166;GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0017111;GO:0055085
Glyma.01G008300,Gm01,863281-865705,histidine-containing phosphotransfer protein 4-like [Glycine max]; domain),IPR008207,GO:0000160;GO:0004871
Glyma.01G008400,Gm01,867804-872992,Iron ion binding / oxidoreductase/ oxidoreductase protein n=4 Tax=Camelineae RepID=F4J938_ARATH,IPR002283;IPR026992;IPR027443,GO:0005506;GO:0016491;GO:0055114
Glyma.01G008500,Gm01,876964-882068,"NAD-dependent malic enzyme 1 (NAD+) activity),",IPR001891,GO:0004470;GO:0004471;GO:0006108;GO:0051287;GO:0055114
Glyma.01G008600,Gm01,885069-889908,chromatin protein family;,IPR017862,GO:0005681
Glyma.01G008700,Gm01,891661-904271,RNA-dependent RNA polymerase family protein;,IPR007855,GO:0003968
Glyma.01G008800,Gm01,911832-914381,"Structural constituent of ribosome, putative n=1 Tax=Ricinus communis RepID=B9SC18_RICCO",IPR000529;IPR014717,GO:0003735;GO:0005840;GO:0006412;GO:0019843
Glyma.01G008900,Gm01,914988-923602,golgin candidate 1,NA,NA
Glyma.01G009000,Gm01,932160-933416,Avr9/Cf-9 rapidly elicited protein;,IPR008480,NA
Glyma.01G009200,Gm01,951555-953346,Polyketide cyclase/dehydrase and lipid transport superfamily protein,IPR019587;IPR023393,NA
Glyma.01G009250,Gm01,955685-955981,hyccin-like [Glycine max];,IPR018619,NA
Glyma.01G009300,Gm01,956488-967011,"Oligosaccharyl transferase STT3 subunit homolog, putative n=2 Tax=Onchocercidae RepID=A8NPF6_BRUMA; ",IPR003674,GO:0004576;GO:0006486;GO:0016020
Glyma.01G009400,Gm01,967234-975968,uncharacterized protein LOC100803214 [Glycine max];,IPR008528,NA
Glyma.01G009500,Gm01,984377-987155,isoflavone reductase homolog [Glycine max] -binding domain),IPR008030;IPR016040,NA
Glyma.01G009600,Gm01,987402-990505,myb family transcription factor APL-like isoform X1 [Glycine max]; ,IPR009057;IPR025756,GO:0003677;GO:0003682
Glyma.01G009700,Gm01,1002706-1006751,"transmembrane protein, putative;",IPR016196,NA
Glyma.01G009800,Gm01,1009631-1013355,Ribosomal protein L35,IPR021137,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.01G009900,Gm01,1017100-1021423,"membrane protein, putative;",IPR007300,NA
Glyma.01G010000,Gm01,1023072-1028482,4-coumarate:CoA ligase 2; ,IPR000873;IPR025110,GO:0003824;GO:0008152
Glyma.01G010100,Gm01,1028828-1037748,ERD (early-responsive to dehydration stress) family protein,IPR003864;IPR027815,GO:0016020
Glyma.01G010200,Gm01,1042796-1047451,phosphoribulokinase,IPR006082;IPR027417,GO:0005524;GO:0005975;GO:0008152;GO:0008974;GO:0016301
Glyma.01G010300,Gm01,1051049-1056650,Secretory carrier membrane protein (SCAMP) family protein,IPR007273,GO:0015031;GO:0016021
Glyma.01G010400,Gm01,1058924-1064452,DEAD-box ATP-dependent RNA helicase,IPR001650;IPR014001;IPR014014;IPR027417,GO:0003676;GO:0004386;GO:0005524;GO:0008026
Glyma.01G010500,Gm01,1068606-1072313,disease resistance protein,IPR000767;IPR025875;IPR027417,GO:0006952;GO:0043531
Glyma.01G010600,Gm01,1073129-1075833,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 39 Blast hits to 39 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",NA,NA
Glyma.01G010700,Gm01,1076425-1083587,disease resistance protein; ,IPR000767;IPR027417,GO:0006952;GO:0043531
Glyma.01G010800,Gm01,1086092-1093572,uncharacterized protein LOC100817091 isoform X1 [Glycine max],NA,NA
Glyma.01G010900,Gm01,1097263-1101206,ATP-dependent RNA helicase Dbp73D isoform 1 n=1 Tax=Theobroma cacao RepID=UPI00042B91D8,NA,NA
Glyma.01G011100,Gm01,1106907-1112033,26S proteasome non-ATPase regulatory subunit-like protein; domain);,IPR000717,GO:0005515
Glyma.01G011200,Gm01,1115918-1123501,"guanine nucleotide-binding protein alpha-2 subunit isoform X3 [Glycine max] alpha subunit),",IPR001019;IPR011011;IPR027417,GO:0003924;GO:0004871;GO:0007165;GO:0007186;GO:0019001;GO:0031683
Glyma.01G011300,Gm01,1138109-1141094,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.01G011400,Gm01,1141425-1144406,vacuolar protein sorting-associated protein 25-like isoform X2 [Glycine max],IPR008570;IPR011991,NA
Glyma.01G011500,Gm01,1145159-1149292,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G011600,Gm01,1172572-1180290,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G011700,Gm01,1183882-1186135,Pentatricopeptide repeat (PPR) superfamily protein;,IPR002885,NA
Glyma.01G011800,Gm01,1188135-1189996,uncharacterized protein LOC102665971 [Glycine max],NA,NA
Glyma.01G011900,Gm01,1193075-1201554,ankyrin repeat-containing protein At3g12360-like [Glycine max]; ,IPR020683;IPR025314;IPR026961,GO:0005515
Glyma.01G012000,Gm01,1210092-1215302,disease resistance protein (TIR-NBS-LRR class),IPR000767;IPR001611;IPR027417,GO:0005515;GO:0006952;GO:0043531
Glyma.01G012100,Gm01,1215663-1221099,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G012200,Gm01,1233182-1237042,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G012250,Gm01,1243514-1245014,Unknown protein,NA,NA
Glyma.01G012300,Gm01,1244554-1250211,Protein of unknown function (DUF59);,IPR002744,NA
Glyma.01G012400,Gm01,1250599-1255073,uncharacterized protein LOC100777314 isoform X4 [Glycine max];,IPR008479,NA
Glyma.01G012500,Gm01,1256941-1261605,Transcription elongation factor (TFIIS) family protein,IPR017923,GO:0003677;GO:0005634
Glyma.01G012700,Gm01,1264091-1269209,"ATP binding protein, putative n=1 Tax=Ricinus communis RepID=B9S764_RICCO",IPR001752;IPR027417;IPR027640,GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017
Glyma.01G012800,Gm01,1273139-1277886,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G013000,Gm01,1284893-1285804,ankyrin repeat-containing protein At3g12360-like [Glycine max];,IPR026961,NA
Glyma.01G013100,Gm01,1289995-1294044,Disease resistance protein (TIR-NBS-LRR class) family,IPR000767;IPR001611;IPR003591;IPR027417,GO:0005515;GO:0006952;GO:0043531
Glyma.01G013200,Gm01,1301906-1306647,sn1-specific diacylglycerol lipase beta-like [Glycine max],IPR002921,GO:0004806;GO:0006629
Glyma.01G013300,Gm01,1321936-1329194,ankyrin repeat-containing protein At3g12360-like [Glycine max],IPR020683;IPR026961,GO:0005515
Glyma.01G013500,Gm01,1338164-1347083,receptor kinase 3,IPR002902;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G013600,Gm01,1356193-1366513,"DNA-binding protein EMBP-1, putative n=1 Tax=Ricinus communis RepID=B9RZ25_RICCO",IPR004827;IPR012900,GO:0003677;GO:0003700;GO:0005634;GO:0043565
Glyma.01G013800,Gm01,1368308-1370310,dnaJ homolog subfamily B member 14-like [Glycine max],IPR001623;IPR024593,NA
Glyma.01G013900,Gm01,1381646-1385401,xyloglucan endotransglucosylase/hydrolase 30,IPR008985;IPR016455,GO:0005618;GO:0005975;GO:0006073;GO:0016762;GO:0048046
Glyma.01G014000,Gm01,1391116-1396850,"cellulose synthase-like D3; activity),",IPR005150;IPR013083,GO:0016020;GO:0016760;GO:0030244
Glyma.01G014100,Gm01,1405944-1411480,alpha/beta superfamily hydrolase,NA,NA
Glyma.01G014200,Gm01,1425941-1436064,"glycerol-3-phosphate acyltransferase, chloroplastic-like isoform X2 [Glycine max]; ",IPR016222,GO:0004366;GO:0006650;GO:0008152
Glyma.01G014301,Gm01,1440475-1441148,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 n=3 Tax=Maloideae RepID=DAD1_MALDO; ,IPR003038,GO:0004579;GO:0008250;GO:0016021
Glyma.01G014400,Gm01,1443109-1447510,"uncharacterized protein At1g32220, chloroplastic-like isoform X1 [Glycine max]; -binding domain)",IPR016040,NA
Glyma.01G014500,Gm01,1448520-1452026,survival motor neuron protein,NA,NA
Glyma.01G014600,Gm01,1458313-1465345,homeobox-leucine zipper protein ROC3-like [Glycine max],IPR002913;IPR009057;IPR023393,GO:0003677;GO:0003700;GO:0005634;GO:0008289;GO:0043565
Glyma.01G014700,Gm01,1480692-1488329,probable lysine-specific demethylase JMJ14-like isoform X4 [Glycine max],IPR003347;IPR003349;IPR004198,GO:0005515;GO:0005634
Glyma.01G014800,Gm01,1513450-1518724,myb family transcription factor APL-like isoform X1 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.01G014900,Gm01,1533166-1540460,shikimate kinase like 2,IPR000623;IPR008978,NA
Glyma.01G015000,Gm01,1538471-1544914,"inactive poly [ADP-ribose] polymerase RCD1; polymerase, catalytic domain),",IPR012317;IPR022003,GO:0003950
Glyma.01G015100,Gm01,1549978-1553209,Plastid-lipid associated protein PAP / fibrillin family protein,IPR006843,GO:0005198;GO:0009507
Glyma.01G015200,Gm01,1554057-1557668,inactive poly [ADP-ribose] polymerase RCD1,NA,NA
Glyma.01G015250,Gm01,1558298-1561017,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages,NA,NA
Glyma.01G015300,Gm01,1560517-1562069,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages,NA,NA
Glyma.01G015400,Gm01,1563437-1565109,"transmembrane protein, putative",NA,NA
Glyma.01G015500,Gm01,1569644-1573187,RNA-binding (RRM/RBD/RNP motifs) family protein,IPR012677,GO:0000166;GO:0003676
Glyma.01G015600,Gm01,1575197-1581125,"syntaxin, putative",IPR010989,GO:0005484;GO:0005515;GO:0006886;GO:0016020;GO:0016192
Glyma.01G015700,Gm01,1582036-1585534,uncharacterized protein LOC100812279 isoform X2 [Glycine max],NA,NA
Glyma.01G015800,Gm01,1586020-1587369,Protein kinase superfamily protein,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G015900,Gm01,1589458-1593550,heat shock transcription factor A2,IPR011991;IPR027725,GO:0003700;GO:0005634;GO:0009408;GO:0043565
Glyma.01G016100,Gm01,1597710-1605042,Pentatricopeptide repeat (PPR-like) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G016300,Gm01,1606526-1609471,E3 ubiquitin-protein ligase RNF14 n=2 Tax=Triticeae RepID=R7W4K2_AEGTA;,IPR006575,GO:0005515
Glyma.01G016400,Gm01,1613885-1618066,UDP-N-acetylglucosamine transferase subunit ALG14 homolog isoform X4 [Glycine max];,IPR013969,NA
Glyma.01G016500,Gm01,1626971-1636642,ATP-binding ABC transporter,IPR011527;IPR027417,GO:0000166;GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0017111;GO:0055085
Glyma.01G016600,Gm01,1646087-1649030,MYB transcription factor MYB48 [Glycine max],IPR009057,GO:0003677;GO:0003682
Glyma.01G016700,Gm01,1652554-1653663,inositol-tetrakisphosphate 1-kinase 1-like isoform X1 [Glycine max],IPR008656,GO:0000287;GO:0005524;GO:0005622;GO:0032957;GO:0047325
Glyma.01G016800,Gm01,1662321-1665795,SNARE associated Golgi protein family;,IPR015414,NA
Glyma.01G016900,Gm01,1667839-1672751,RNA-binding (RRM/RBD/RNP motifs) family protein,IPR012677,GO:0000166;GO:0003676
Glyma.01G017000,Gm01,1675963-1677459,Tetratricopeptide repeat (TPR)-like superfamily protein;,IPR011990,GO:0005515
Glyma.01G017100,Gm01,1687194-1690685,cinnamoyl coa reductase; -binding domain); ,IPR016040,GO:0003854;GO:0006694;GO:0055114
Glyma.01G017150,Gm01,1694427-1695627,GRIP and coiled-coil domain-containing protein 2-like isoform X4 [Glycine max],NA,NA
Glyma.01G017200,Gm01,1695956-1697142,RING/U-box superfamily protein,IPR013083,GO:0005515;GO:0008270
Glyma.01G017300,Gm01,1701664-1703366,RING-H2 finger protein 2B,IPR013083,GO:0005515;GO:0008270
Glyma.01G017400,Gm01,1706758-1710370,RNA-binding protein 42-like [Glycine max],IPR012677,GO:0000166;GO:0003676
Glyma.01G017550,Gm01,1715819-1727582,tetraspanin-2 [Glycine max];,IPR018499,GO:0016021
Glyma.01G017700,Gm01,1742751-1745059,PLATZ transcription factor family protein;,IPR006734,NA
Glyma.01G017800,Gm01,1775485-1776674,uncharacterized protein LOC100800009 [Glycine max],NA,NA
Glyma.01G017900,Gm01,1787859-1788914,AIG2-like (avirulence induced gene) family protein;,IPR013024,NA
Glyma.01G018000,Gm01,1789416-1790963,hypothetical protein,NA,NA
Glyma.01G018066,Gm01,1796557-1797648,Glycine-rich cell wall structural protein 1.0 n=2 Tax=Phaseolus vulgaris RepID=GRP1_PHAVU,NA,NA
Glyma.01G018132,Gm01,1800019-1801328,Unknown protein,NA,NA
Glyma.01G018200,Gm01,1803500-1805275,hypothetical protein,NA,NA
Glyma.01G018300,Gm01,1805276-1809488,ubiquitin carboxyl-terminal hydrolase-like protein;,IPR028889,GO:0006511
Glyma.01G018400,Gm01,1828060-1831611,"transcription factor MYC2-like [Glycine max]; domain),",IPR011598;IPR025610,GO:0046983
Glyma.01G018500,Gm01,1837954-1838862,uncharacterized protein LOC100813893 [Glycine max],NA,NA
Glyma.01G018600,Gm01,1838872-1842516,uncharacterized protein LOC100817619 isoform X2 [Glycine max],NA,NA
Glyma.01G018700,Gm01,1845253-1847331,vegetative cell wall protein gp1-like isoform X4 [Glycine max];,IPR008889,NA
Glyma.01G018800,Gm01,1859169-1860364,abscisic acid receptor,IPR019587;IPR023393,NA
Glyma.01G019000,Gm01,1872130-1875921,mitochondrial substrate carrier family protein B-like [Glycine max],IPR018108;IPR023395,NA
Glyma.01G019100,Gm01,1880775-1890409,starch synthase 4;,IPR013534,NA
Glyma.01G019200,Gm01,1892969-1900869,"phosphoenolpyruvate carboxykinase 1 activity),",IPR001272,GO:0004611;GO:0004612;GO:0005524;GO:0006094;GO:0017076
Glyma.01G019300,Gm01,1920216-1923687,Zinc finger (C3HC4-type RING finger) family protein; ,IPR002035;IPR013083,GO:0005515;GO:0008270
Glyma.01G019400,Gm01,1941117-1945489,indole-3-acetic acid inducible 9,IPR003311,GO:0005634;GO:0046983
Glyma.01G019500,Gm01,1960442-1961461,uncharacterized protein At5g65660-like [Glycine max],NA,NA
Glyma.01G019600,Gm01,1984602-1987207,uncharacterized protein LOC100777884 [Glycine max];,IPR009057,GO:0003677
Glyma.01G019700,Gm01,1995599-1997818,transcription factor bHLH93-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.01G019800,Gm01,2022742-2030511,uncharacterized protein LOC100782361 isoform X5 [Glycine max];,IPR009836,NA
Glyma.01G019900,Gm01,2031032-2036033,uncharacterized protein LOC100527658 isoform X1 [Glycine max],NA,NA
Glyma.01G020000,Gm01,2042570-2046786,ATP-binding ABC transporter,IPR013525;IPR027417,GO:0000166;GO:0005524;GO:0016020;GO:0016887;GO:0017111
Glyma.01G020100,Gm01,2051587-2060408,protein kinase family protein,IPR011009;IPR013210;IPR013320;IPR024788,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G020200,Gm01,2062178-2062635,protein BRICK 1 [Glycine max];,IPR019466,NA
Glyma.01G020300,Gm01,2063324-2072066,Oligopeptidase A. Metallo peptidase. MEROPS family M03A n=3 Tax=Synechococcus RepID=Q3AYD1_SYNS9,IPR001567;IPR024077;IPR024079;IPR024080,GO:0004222;GO:0006508;GO:0008237
Glyma.01G020400,Gm01,2087397-2088194,uncharacterized protein LOC100793129 [Glycine max],NA,NA
Glyma.01G020500,Gm01,2091031-2107487,MADS-box transcription factor 6 [Glycine max],IPR002100;IPR002487,GO:0003677;GO:0003700;GO:0005634;GO:0046983
Glyma.01G020600,Gm01,2118484-2119299,receptor lectin kinase; ,IPR008985;IPR013320;IPR016363,GO:0030246
Glyma.01G020700,Gm01,2120398-2121264,receptor lectin kinase; ,IPR008985;IPR013320;IPR016363,GO:0030246
Glyma.01G020800,Gm01,2142936-2151295,Rhamnogalacturonate lyase family protein,IPR008979;IPR010325;IPR011013;IPR013784;IPR014766,GO:0003824;GO:0005975;GO:0030246
